apk_Name,apk_size,apk_type,app_icon,app_introduce,app_name,app_version,developer,download_count,download_url,star,update_time
,57.59M,办公,https://pp.myapp.com/ma_icon/0/icon_52530600_1588085411/96,,拼多多商家版,V2.8.5,上海寻梦信息技术有限公司,723万下载,https://imtt.dd.qq.com/16891/apk/1EC34F3E24DBD9270CD38804B4584D63.apk?fsname=com.xunmeng.merchant_2.8.5_2080505.apk&csr=1bbd,3分,
,6.25M,办公,https://pp.myapp.com/ma_icon/0/icon_8663_1579159582/96,,随笔记,V1.8.4.0,杭州随笔记网络技术有限公司,147万下载,https://imtt.dd.qq.com/16891/apk/DD9A73068A3E319058D380C9360AE94D.apk?fsname=org.dayup.gnotes_1.8.4.0_1847.apk&csr=1bbd,4.3分,
,0M,,,,,V,,0下载,,0分,
,96.31M,健康,https://pp.myapp.com/ma_icon/0/icon_6205_1588839934/96,,用药助手,V11.1,观澜网络（杭州）有限公司,173万下载,https://imtt.dd.qq.com/16891/apk/21712AAB8F6333E444D47DB676268C7B.apk?fsname=cn.dxy.medicinehelper_11.1_20200429.apk&csr=1bbd,4.2分,
,38.03M,健康,https://pp.myapp.com/ma_icon/0/icon_11809597_1582107263/96,,天天手环,V2.4.5,深圳市优创亿科技有限公司,275万下载,https://imtt.dd.qq.com/16891/apk/51B64AA5D20C4310C703F458A0A5D0E5.apk?fsname=com.yc.pedometer_2.4.5_123.apk&csr=1bbd,3.9分,
,51.87M,健康,https://pp.myapp.com/ma_icon/0/icon_10700854_1584695566/96,,糖医生,V5.0.2,糖医生健康管理南京有限公司,13万下载,https://imtt.dd.qq.com/16891/apk/7F81D51E2EACDCF239FDCB77FF87533C.apk?fsname=com.ddoctor.user_5.0.2_81.apk&csr=1bbd,4.9分,
,34.78M,办公,https://pp.myapp.com/ma_icon/0/icon_12036965_1587954984/96,,易企秀,V4.15.0,北京中网易企秀科技有限公司,2108万下载,https://imtt.dd.qq.com/16891/apk/8A3E90EF99762761159A7B95DDEF08CC.apk?fsname=cn.knet.eqxiu_4.15.0_41500.apk&csr=1bbd,4.3分,
,16.53M,工具,https://pp.myapp.com/ma_icon/0/icon_11633829_1588147208/96,,交易猫,V5.12.0,广州交易猫信息技术有限公司,1586万下载,https://imtt.dd.qq.com/16891/apk/508CA363051781B73E220FE194BA67BA.apk?fsname=com.jym.mall_5.12.0_123.apk&csr=1bbd,3.5分,
,20.51M,健康,https://pp.myapp.com/ma_icon/0/icon_11344596_1555782165/96,,bodivis,V3.1.16,同方健康科技（北京）股份有限公司,154万下载,https://imtt.dd.qq.com/16891/apk/7DF93B369C868BE151CC0C0632B8E075.apk?fsname=com.press.healthassistant_3.1.16_75.apk&csr=1bbd,4.9分,
,9.58M,健康,https://pp.myapp.com/ma_icon/0/icon_52800079_1582883872/96,,微风睡眠,V1.0.6,中金瑞银（厦门）科技有限公司,1659万下载,https://imtt.dd.qq.com/16891/apk/73AEEEE5412EF59CC37722FFE7557662.apk?fsname=com.breeze.hypnosis_1.0.6_2020011502.apk&csr=1bbd,5分,
,0M,,,,,V,,0下载,,0分,
,35.84M,健康,https://pp.myapp.com/ma_icon/0/icon_10579073_1585733411/96,,趣医院,V2.7.30,上海趣医网络科技有限公司,113万下载,https://imtt.dd.qq.com/16891/apk/6876E236E71226BC4FB585F3F699EDBE.apk?fsname=com.kingyee.kymh_2.7.30_20730.apk&csr=1bbd,5分,
,0M,,,,,V,,0下载,,0分,
,0M,,,,,V,,0下载,,0分,
,23.41M,工具,https://pp.myapp.com/ma_icon/0/icon_10945251_1586923429/96,,7723游戏盒,V3.9.9,厦门巴掌科技有限公司,1454万下载,https://imtt.dd.qq.com/16891/apk/AFA1FFC7CD9562E88594D9217D35A5B7.apk?fsname=com.upgadata.up7723_3.9.9_399.apk&csr=1bbd,4.1分,
,13.46M,工具,https://pp.myapp.com/ma_icon/0/icon_10451027_1587894370/96,,爱吾游戏宝盒,V2.2.1.0,台州市爱吾信息技术有限公司,983万下载,https://imtt.dd.qq.com/16891/apk/8AB20CCF2F96500881EFC4496B34E766.apk?fsname=com.aiwu.market_2.2.1.0_2210.apk&csr=1bbd,4分,
,7.28M,工具,https://pp.myapp.com/ma_icon/0/icon_12150799_1585208811/96,,万能WiFi连接钥匙,V20.03.26,深圳市巴掌科技有限公司,622万下载,https://imtt.dd.qq.com/16891/apk/11ADBCB0ECB90DAE7733B232254E4BA3.apk?fsname=com.bj.wannengwifiljys_20.03.26_200326.apk&csr=1bbd,4.8分,
,15.53M,工具,https://pp.myapp.com/ma_icon/0/icon_10376076_1584686530/96,,CAD快速看图,V5.6.0,广联达科技股份有限公司,1297万下载,https://imtt.dd.qq.com/16891/apk/FD31941AF130267B1F07C58345A9021F.apk?fsname=com.glodon.drawingexplorer_5.6.0_560.apk&csr=1bbd,4.6分,
,72.96M,工具,https://pp.myapp.com/ma_icon/0/icon_10124981_1573644100/96,,CF掌游宝,V4.2.5,成都我趣科技有限公司,440万下载,https://imtt.dd.qq.com/16891/apk/850935D8E31951D0D67886CC86A276AC.apk?fsname=com.anzogame.cf_4.2.5_400205.apk&csr=1bbd,4.6分,
,16.24M,工具,https://pp.myapp.com/ma_icon/0/icon_1012259_1585549755/96,,随e行WiFi,V9.3.3625,中国移动通信集团公司,5353万下载,https://imtt.dd.qq.com/16891/apk/A83D2723F2287D813DE1B647E11E5295.apk?fsname=com.chinamobile.cmccwifi_9.3.3625_933625.apk&csr=1bbd,3.1分,
,55.27M,视频,https://pp.myapp.com/ma_icon/0/icon_42385933_1588235012/96,,咪咕爱看,V4.6.0,咪咕视讯科技有限公司,1089万下载,https://imtt.dd.qq.com/16891/apk/C2FE82E31E177C40E6BF86310B050E3D.apk?fsname=com.wondertek.miguaikan_4.6.0_460.apk&csr=1bbd,4.9分,
,19.12M,视频,https://pp.myapp.com/ma_icon/0/icon_12207020_1588145392/96,,动感相册,V6.71,广州亿启网络科技有限公司,1847万下载,https://imtt.dd.qq.com/16891/apk/C725D355AF35A1019BA12534B57D28CB.apk?fsname=cn.yiqi.photo_6.71_222.apk&csr=1bbd,4.8分,
,38.21M,视频,https://pp.myapp.com/ma_icon/0/icon_10401255_1576559882/96,,小米视频,V2019121290(Miideo-UN),北京小米移动软件有限公司,2.8亿下载,https://imtt.dd.qq.com/16891/apk/3F80E23027F8E5059FF2A1AA78664FFD.apk?fsname=com.miui.video_v2019121290(MiVideo-UN)_2019121290.apk&csr=1bbd,2.7分,
,37.88M,视频,https://pp.myapp.com/ma_icon/0/icon_11367285_1583985995/96,,逗拍,V9.2.0,深圳市大头兄弟科技有限公司,2184万下载,https://imtt.dd.qq.com/16891/apk/772E66AE853692BFEB5370DF669A5D83.apk?fsname=com.dou_pai.DouPai_9.2.0_902000000.apk&csr=1bbd,3.7分,
,71.15M,视频,https://pp.myapp.com/ma_icon/0/icon_10144233_1588831624/96,,酷狗直播,V4.97.2,广州酷狗计算机科技有限公司,2270万下载,https://imtt.dd.qq.com/16891/apk/0FC754F4FB102E6AF1AE6E6825075D61.apk?fsname=com.kugou.fanxing_4.97.2_49702.apk&csr=1bbd,4.5分,
